VK301;VOORLOOPRECORD;01;0101;KENMERK RECORD;N;2;;2;M;T;COD001;VEK4;TECH;TECHNISCHE GEGEVENSELEMENTEN;Identificatie van het soort record in een externe-integratiebericht.;;;;;SITUATIE AFHANKELIJKE AANBEVELING;;;Voorlooprecord is recordtype 01.;;;;Waarde '01' vullen.
VK301;VOORLOOPRECORD;01;0102;CODE EXTERNE-INTEGRATIEBERICHT;N;3;NNN;5;M;;COD002;VEKT;BERI;BERICHTINFORMATIE ALGEMEEN;Code ter identificatie van een (soort) (externe-integratie)bericht.;;;;VEKTIS CV;AANBEVELING VEKTIS;;Vullen met de code, die voor het desbetreffende EI-bericht van toepassing is.;;IDENTIFICATIE EI/EDI BERICHT;COD002-VEKT;;Waarde '141' vullen.
VK301;VOORLOOPRECORD;01;0103;VERSIENUMMER BERICHTSTANDAARD;N;2;;7;M;;NUM001;VEK1;BERI;BERICHTINFORMATIE ALGEMEEN;Volgnummer van de formele uitgifte van een versie van een (externe-integratie)berichtstandaard.;Wijzigingen die gevolgen hebben voor de structuur (recordlay-out) van een EI-bericht leiden tot een verandering van de versie van een EI-standaard.;;;VEKTIS CV;SITUATIE AFHANKELIJKE AANBEVELING;Nummer wordt in volgorde van uitgifte van de standaard bepaald.;Vullen met het versienummer van de desbetreffende EI-standaard.;;;;;Waarde '02' vullen.
VK301;VOORLOOPRECORD;01;0104;SUBVERSIENUMMER BERICHTSTANDAARD;N;2;;9;M;;NUM309;VEKT;BERI;BERICHTINFORMATIE ALGEMEEN;Volgnummer binnen het versienummer van een (externe-integratie)berichtstandaard.Volgnummer van de formele uitgifte van een subversie van een (Externe Integratie) berichtstandaard.;Wijzigingen die gevolgen hebben voor de inhoud van een EI-bericht, maar de structuur van het EI-bericht ongemoeid laten, leiden tot een verandering van de subversie van een EI-standaard.;;;VEKTIS CV;AANBEVELING VEKTIS;Het nummer wordt in volgorde van uitgifte van de subversie van een standaard bepaald.;Vullen met het subversienummer van de desbetreffende EI-standaard.;;;;;"Conditie: verplicht vullen als de subversie een waarde 1 of hoger heeft, anders ""00"" vullen (betekenis: er is geen subversie bij deze versie).  Waarde '02' vullen."
VK301;VOORLOOPRECORD;01;0105;SOORT BERICHT;AN;1;;10;M;;COD856;VEKT;BERI;BERICHTINFORMATIE ALGEMEEN;Aanduiding van het doel van het bestand.;Met deze aanduiding kan aangegeven worden of het bestand daadwerkelijk verwerkt moet worden of dat het enkel voor testdoeleinden gebruikt mag worden.;;;VEKTIS CV;SITUATIE AFHANKELIJKE AANBEVELING;;;;BERICHTSOORT;COD856-VEKT;;
VK301;VOORLOOPRECORD;01;0106;CODE INFORMATIESYSTEEM SOFTWARELEVERANCIER;N;6;;16;O;;COD805;VEKT;BERI;BERICHTINFORMATIE ALGEMEEN;Identificatie van het informatiesysteem van een softwareleverancier;Hiermee kan men aangeven met welk systeem het bericht aangemaakt is.;;;VEKTIS CV;AANBEVELING VEKTIS;De eerste 4 posities van de code identificeren de softwareleverancier, de laatste 2 posities identificeren het informatiesysteem.;;De softwareleverancier bepaalt of dit gegeven wordt ingevuld.;CODE INFORMATIESYSTEEM SOFTWARELEVERANCIER;COD805-VEKT;;
VK301;VOORLOOPRECORD;01;0107;VERSIEAANDUIDING INFORMATIESYSTEEM SOFTWARELEVERANCIER;AN;10;;26;C;;NUM284;VEKT;BERI;BERICHTINFORMATIE ALGEMEEN;Aanduiding van een versie van een informatiesysteem.;Hiermee kan men aangeven met welke versie van het informatiesysteem in de vorige rubriek het bericht aangemaakt is.;;;VEKTIS CV;AANBEVELING VEKTIS;;;;;;;Conditie: als rubriek 0106 CODE INFORMATIESYSTEEM SOFTWARELEVERANCIER gevuld is, dan de versie verplicht vullen. Anders niet vullen.
VK301;VOORLOOPRECORD;01;0108;UZOVI-NUMMER;N;4;;30;C;;COD061;VEKT;ZVZA;ZORGVERZEKERAAR;Identificatie van een (zorg)verzekeraar die betrokken is bij de uitvoering van de Basisverzekering en/of de Algemene Wet Bijzondere Ziektekosten.;"UZOVI = Unieke ZOrgVerzekeraars Identificatie. In het UZOVI-register worden de nummers beheerd; hierin is ook aangegeven welke nummers relevant zijn voor declaraties. Naam gegeven voorheen: ""Code zorgverzekeraar"".";;;VEKTIS CV;AANBEVELING VEKTIS;;Raadpleeg voor meer informatie het UZOVI-register bij Vektis (http://uzovi.vektis.nl).;Als het UZOVI-nummer niet in het detailrecord staat, heeft het in deze rubriek naast een logistiek doel ook een inhoudelijk doel (zorgverzekeraar is betalende partij). In detailrecords mag het UZOVI-nummer afwijken van de vulling van rubriek 0108.;;;;Conditie: verplicht vullen als de declaratie naar een zorgverzekeraar gaat.
VK301;VOORLOOPRECORD;01;0109;CODE SERVICEBUREAU;N;8;NNNNNNNN;38;C;;COD377;VEKT;ZOVL;ZORGVERLENER;Identificerende code van een servicebureau. Een servicebureau is een dienstverlenende organisatie (eenheid), die een (elektronische) schakel vormt tussen zorgverleners (vrijgevestigde beroepsbeoefenaren en zorginstellingen) en zorgverzekeraars.;Een servicebureau splitst een nota op, routeert door met of zonder bewerking/verrijking van gegevens in het declaratiebestand. Er is dus sprake van factoring of clearing.  Is dus geen tussenschakel die uitsluitend een 'postbusfunctie' heeft, zoals VECOZO;COD009;CODERING ZORGVERLENER;VEKTIS CV;AANBEVELING VEKTIS;De AGB-code bestaat uit ZORGVERLENERSSOORT (COD008) en ZORGVERLENERSNUMMER (NUM005). ZORGVERLENERSSOORT op positie 1-2, ZORGVERLENERSNUMMER op positie 3-8. Het zorgverlenersnummer is uniek binnen de zorgverlenerssoort.;Voor meer informatie zie http://agb.vektis.nl/.;Zorgverlenerssoort = 98.;;;;Conditie: verplicht invullen als de declaratie van een zorgaanbieder naar een servicebureau of van een servicebureau naar een zorgverzekeraar gaat.
VK301;VOORLOOPRECORD;01;0110;ZORGVERLENERSCODE;N;8;NNNNNNNN;46;C;;COD009;VEKT;ZOVL;ZORGVERLENER;Identificerende code van de zorgverlener (natuurlijk persoon).;;;;VEKTIS CV;AANBEVELING VEKTIS;De AGB-code bestaat uit ZORGVERLENERSSOORT (COD008) en ZORGVERLENERSNUMMER (NUM005). ZORGVERLENERSSOORT op positie 1-2, ZORGVERLENERSNUMMER op positie 3-8. Het zorgverlenersnummer is uniek binnen de zorgverlenerssoort.;Voor meer informatie zie http://agb.vektis.nl/.;;;;;Conditie: verplicht invullen als de praktijkcode gevuld is (dus als er geen sprake is van een instelling). Als er sprake is van een instelling, dan wordt in plaats van dit gegeven 0112 INSTELLINGSCODE ingevuld.
VK301;VOORLOOPRECORD;01;0111;PRAKTIJKCODE;N;8;NNNNNNNN;54;C;;COD181;VEKT;ZOVL;ZORGVERLENER;Identificerende code van een praktijk, waartoe een individuele zorgverlener behoort.;;;;VEKTIS CV;AANBEVELING VEKTIS;De AGB-code bestaat uit ZORGVERLENERSSOORT (COD008) en ZORGVERLENERSNUMMER (NUM005). ZORGVERLENERSSOORT op positie 1-2, ZORGVERLENERSNUMMER op positie 3-8. Het zorgverlenersnummer is uniek binnen de zorgverlenerssoort.;De praktijkcode bevat op de derde positie een tussennul. Dus AGB-code 01(0)23456 wordt bij vulling als volgt: 01023456. Voor meer informatie zie http://agb.vektis.nl/.;;;;;Conditie: verplicht invullen als de zorg vanuit een praktijk verleend is (en niet vanuit een instelling).
VK301;VOORLOOPRECORD;01;0112;INSTELLINGSCODE;N;8;NNNNNNNN;62;C;;COD031;VEKT;ZOVL;ZORGVERLENER;Identificerende code van een instelling.;;COD009;CODERING ZORGVERLENER;VEKTIS CV;AANBEVELING VEKTIS;De AGB-code bestaat uit ZORGVERLENERSSOORT (COD008) en ZORGVERLENERSNUMMER (NUM005). ZORGVERLENERSSOORT op positie 1-2, ZORGVERLENERSNUMMER op positie 3-8. Het zorgverlenersnummer is uniek binnen de zorgverlenerssoort.;Voor meer informatie zie http://agb.vektis.nl/.;;;;;Conditie: verplicht invullen als de zorg vanuit een instelling verleend is (en niet vanuit een praktijk). Een huisartsenpost is ook een instelling. Een gezondheidscentrum of een samenwerkingsverband wordt als een instelling gevuld.
VK301;VOORLOOPRECORD;01;0113;IDENTIFICATIECODE BETALING AAN;N;2;;64;M;;COD833;VEKT;ZOVL;ZORGVERLENER;Verwijzing naar degene, die de betaling dient te ontvangen.;;;;VEKTIS CV;SITUATIE AFHANKELIJKE AANBEVELING;;;De verwijzing betreft de rubrieken 0109 t/m 0112. De partij waarnaar in dit veld verwezen wordt, dient in de overeenkomende rubriek tussen 0109 en 0112 met een AGB-code gevuld te zijn.;IDENTIFICATIECODE BETALING AAN;COD833-VEKT;;
VK301;VOORLOOPRECORD;01;0114;BEGINDATUM DECLARATIEPERIODE;N;8;EEJJMMDD;72;M;;DAT043;NEN;BERI;BERICHTINFORMATIE ALGEMEEN;Datumveld.;Eerste dag van een administratieve periode waarop de gegevensuitwisseling betrekking heeft. Dit betreft niet per definitie de begindatum van de eerste behandeling.;DAT039;DATUM MET EEUW VOOROP;NEDERLANDS NORMALISATIE INSTITUUT;AANBEVELING VEKTIS;;;Als er sprake is van nagekomen declaratieposten die eigenlijk onder een voorgaande declaratieperiode vielen, wordt deze begindatum niet aangepast.;;;;Altijd volledig de werkelijke datum vullen. Het is niet de bedoeling de begindatum van de prestatie hiervoor te gebruiken.
VK301;VOORLOOPRECORD;01;0115;EINDDATUM DECLARATIEPERIODE;N;8;EEJJMMDD;80;M;;DAT044;NEN;BERI;BERICHTINFORMATIE ALGEMEEN;Laatste dag van een administratieve periode waarop de gegevensuitwisseling betrekking heeft. Dit betreft niet per definitie de einddatum van de laatste behandeling.;De ontvanger van het bericht kan met de informatie uit deze en de vorige rubriek opmaken of de periode aansluit op die van het voorgaande bericht of signaleren of er in de loop van de tijd gaten in de deze periodes voorkomen.;DAT039;DATUM MET EEUW VOOROP;NEDERLANDS NORMALISATIE INSTITUUT;AANBEVELING VEKTIS;;;Het betreft de einddatum van de declaratieperiode. Deze datum is gelijk aan of later dan de begindatum declaratieperiode, en mag niet na de dagtekening van de factuur vallen.;;;;Altijd volledig met een werkelijke datum vullen. Het is niet de bedoeling de einddatum van de prestatie hiervoor te gebruiken.
VK301;VOORLOOPRECORD;01;0116;FACTUURNUMMER DECLARANT;AN;12;;92;M;;NUM029;VEKT;BERI;BERICHTINFORMATIE ALGEMEEN;Unieke aanduiding van een factuur, toegekend door de opsteller van een factuur.;;NUM021;FACTUURNUMMER;VEKTIS CV;AANBEVELING VEKTIS;;Factuurnummers kunnen ook letters bevatten.;Deze dient uniek te zijn per code betaling aan (uniek voor een periode van 5 jaar).;;;;
VK301;VOORLOOPRECORD;01;0117;DAGTEKENING FACTUUR;N;8;EEJJMMDD;100;M;;DAT031;NEN;BERI;BERICHTINFORMATIE ALGEMEEN;Datum van ondertekening van een declaratie door de declarant.;;DAT039;DATUM MET EEUW VOOROP;NEDERLANDS NORMALISATIE INSTITUUT;AANBEVELING VEKTIS;;;;;;;Altijd volledig met een bestaande datum vullen. De datum moet liggen op of na de de einddatum van de declaratieperiode.
VK301;VOORLOOPRECORD;01;0118;BTW-IDENTIFICATIENUMMER;AN;14;;114;C;;NUM351;BELA;BERI;BERICHTINFORMATIE ALGEMEEN;Identificatienummer voor een zorgverlener in het kader van de omzetbelasting.;;;;BELASTINGDIENST;AANBEVELING VEKTIS;Het BTW-identificatienummer van een Nederlandse ondernemer bestaat uit veertien posities. Het begint met de landcode NL, gevolgd door negen cijfers, waarin het omzetbelastingnummer is opgenomen plus een toevoeging van drie posities: B01 t/m B99.;Het omzetbelastingnummer heeft vaak minder dan negen cijfers voor de toevoeging B01 t/m B99. In dat geval wordt het BTW-identificatienummer aangevuld met voorloopnullen. Er staan geen punten in het nummer.;;;;;Conditie: verplicht vullen als de zorgverlener BTW-plichtig is, ongeacht of er in het bestand wel of niet sprake is van gedeclareerde zorg, waarop BTW van toepassing is. Anders niet vullen.
VK301;VOORLOOPRECORD;01;0119;VALUTACODE;AN;3;;117;M;;COD363;ISO;BERI;BERICHTINFORMATIE ALGEMEEN;Valuta waarin alle bedragen zijn uitgedrukt.;;;;INTERNATIONAL ORGANIZATION FOR STANDARDIZATION;AANBEVELING VEKTIS;;;;VALUTACODE, ISO 4217: 1995 (ALFANUMERIEK);COD363-ISO;;Defaultwaarde is 'EUR'.
VK301;VOORLOOPRECORD;01;0180;RESERVE;AN;193;;310;S;;TEC007;193;TECH;TECHNISCHE GEGEVENSELEMENTEN;Loze posities in een bericht ten behoeve van het op gelijke lengte brengen van records dan wel ruimte gereserveerd voor toekomstig gebruik.;;;;;GEEN AANBEVELING VEKTIS;;;;;;;Verplicht vullen met spaties.
VK301;VERZEKERDENRECORD;02;0201;KENMERK RECORD;N;2;;2;M;T;COD001;VEK4;TECH;TECHNISCHE GEGEVENSELEMENTEN;Identificatie van het soort record in een externe-integratiebericht.;;;;;SITUATIE AFHANKELIJKE AANBEVELING;;;Verzekerdenrecord is recordtype 02.;;;;Waarde '02' vullen.
VK301;VERZEKERDENRECORD;02;0202;IDENTIFICATIE DETAILRECORD;N;12;;14;M;T;NUM040;VEKT;TECH;TECHNISCHE GEGEVENSELEMENTEN;Unieke codering van een detailrecord.;De identificatie wordt ingevuld door de zender van het 'heenbericht'. In een retourrecord wordt geen nieuw nummer gebruikt, doch hetzelfde nummer als in het 'heenrecord' ingevuld.;;;VEKTIS CV;AANBEVELING VEKTIS;;Detailrecords in het 'heenbericht' hebben een volgnummer beginnend bij 1 en oplopend met 1. Het commentaarrecord heeft hetzelfde nummer als dat van het bijbehorende detailrecord. Detailrecords in het retourbericht 'erven' het volgnr. in het heenbericht.;;;;;
VK301;VERZEKERDENRECORD;02;0203;BURGERSERVICENUMMER (BSN) VERZEKERDE;N;9;;23;M;L;NUM313;GBA;VERZ;VERZEKERDE/PATIENT/CLIENT;Een door de overheid toegekend identificerend nummer in het kader van het vereenvoudigen van het contact tussen overheid en burgers en het verminderen van de administratieve lasten.;Dit gegeven wordt toegepast vanaf de datum waarop de overheid dit toestaat (2006 gepland). Voor deze datum mag het BSN niet gebruikt worden.;NUM285;CODERING BURGERSERVICENUMMER;GEMEENTELIJKE BASIS ADMINISTRATIE;AANBEVELING VEKTIS;;;In geval van pasgeborenen geen declaratie insturen in afwachting van uitgifte van een BSN, mits dit binnen redelijke termijn te verwachten valt.;;;;Voorlopige bedrijfsregel: het BSN verplicht vullen als een persoon een BSN heeft en het gebruik is geregeld. Als de zorgaanbieder constateert dat de verzekerde geen BSN (of RNI) of sofinummer. heeft, dan vullen met een dummywaarde van negens (9x9).
VK301;VERZEKERDENRECORD;02;0204;UZOVI-NUMMER;N;4;;27;M;L;COD061;VEKT;VERZ;VERZEKERDE/PATIENT/CLIENT;Identificatie van een (zorg)verzekeraar die betrokken is bij de uitvoering van de Basisverzekering en/of de Algemene Wet Bijzondere Ziektekosten.;"UZOVI = Unieke ZOrgVerzekeraars Identificatie. In het UZOVI-register worden de nummers beheerd; hierin is ook aangegeven welke nummers relevant zijn voor declaraties. Naam gegeven voorheen: ""Code zorgverzekeraar"".";;;VEKTIS CV;AANBEVELING VEKTIS;;Raadpleeg voor meer informatie het UZOVI-register bij Vektis (http://uzovi.vektis.nl).;Sleutel i.c.m. VERZEKERDENNUMMER.;;;;
VK301;VERZEKERDENRECORD;02;0205;VERZEKERDENNUMMER (INSCHRIJVINGSNUMMER, RELATIENUMMER);AN;15;;42;C;L;NUM003;ZNET;VERZ;VERZEKERDE/PATIENT/CLIENT;Nummer waaronder een verzekerde bij de zorgverzekeraar is ingeschreven.;Identificatienummer per verzekerde (per verzekeraar toegekend). Dit nummer behoort uniek te zijn bij de zorgverzekeraar.;;;ZORGNET;AANBEVELING VEKTIS;;;In het geval dat het nummer met nullen begint, maken deze deel uit van het nummer. Sleutel i.c.m. UZOVI-NUMMER.;;;;"Conditie: verplicht vullen, zolang BSN nog niet in productie is; na in productiename BSN alleen verplicht vullen indien BSN (nog) niet bekend is. Plaats alle tekens inclusief de nullen linksaangesloten in het veld. Rechts uitvullen met spaties."
VK301;VERZEKERDENRECORD;02;0206;PATIENT(IDENTIFICATIE)NUMMER;AN;11;;53;O;;COD038;VEKT;VERZ;VERZEKERDE/PATIENT/CLIENT;Unieke identificerende aanduiding van een persoon per orgaan van gezondheidszorg, alwaar een behandeling plaatsvindt.;Nummer wordt bepaald door de zorgverlener. Indien van toepassing wordt het nummer identiek teruggemeld aan de zorgverlener.;;;VEKTIS CV;AANBEVELING VEKTIS;;;Dit nummer is bedoeld om te gebruiken als referentie, teneinde het zoeken in de administratie van de zorgverlener te vereenvoudigen.;;;;Het nummer dient links uitgelijnd te worden en rechts opgevuld te worden met spaties.
VK301;VERZEKERDENRECORD;02;0207;DATUM GEBOORTE VERZEKERDE;N;8;EEJJMMDD;61;M;;DAT006;NEN;VERZ;VERZEKERDE/PATIENT/CLIENT;Datum waarop de verzekerde geboren is.;Altijd volledig invullen met de werkelijke datum.;DAT039;DATUM MET EEUW VOOROP;NEDERLANDS NORMALISATIE INSTITUUT;AANBEVELING VEKTIS;;;;;;;Altijd volledig vullen met de werkelijke datum.
VK301;VERZEKERDENRECORD;02;0208;CODE GESLACHT VERZEKERDE;N;1;;62;M;;COD134;NEN;VERZ;VERZEKERDE/PATIENT/CLIENT;Unieke aanduiding van de sexe van een verzekerde, het niet bekend zijn daarvan, het ontbreken of niet gespecificeerd zijn.;Volgens NEN-ISO 5218, december 1991.;COD046;GESLACHT, GECODEERD VOLGENS NEN-ISO 5218.;NEDERLANDS NORMALISATIE INSTITUUT;AANBEVELING VEKTIS;Mannelijk of vrouwelijk.;;;GESLACHT, GECODEERD VOLGENS NEN-ISO 5218.;COD046-NEN;;Hier alleen code '1' (= mannelijk) of code '2' (= vrouwelijk) vullen.
VK301;VERZEKERDENRECORD;02;0209;NAAMCODE/NAAMGEBRUIK (01);N;1;;63;M;;COD700;NEN1;VERZ;VERZEKERDE/PATIENT/CLIENT;Aanduiding naamgebruik (gecodeerd).;Deze code geeft de betekenis van de bijbehorende naam weer (eigen naam, naam echtgenoot e.d.).;;;NEDERLANDS NORMALISATIE INSTITUUT;SITUATIE AFHANKELIJKE AANBEVELING;;;Dit gegevenselement heeft betrekking op NAAM VERZEKERDE (01) inclusief VOORVOEGSEL VERZEKERDE (01). Het betreft hier alleen de eigen naam (geboortenaam)).;NAAMCODE, CODERING VOLGENS NEN 1888, JULI 2002.;COD700-NEN1;;Waarde '1' vullen.
VK301;VERZEKERDENRECORD;02;0210;NAAM VERZEKERDE (01);AN;25;;88;M;;NAM193;NEN;VERZ;VERZEKERDE/PATIENT/CLIENT;De achternaam van verzekerde, indien nodig verkort weergegeven (significant deel).;;NAM039;ACHTERNAAM SIGNIFICANT DEEL (VERKORT), CODERING VOLGENS NEN 1888, DEC 1991.;NEDERLANDS NORMALISATIE INSTITUUT;AANBEVELING VEKTIS;"Als de naam uit meer delen bestaat gescheiden door een koppelteken (""-""), dan wordt er geen spatie geplaatst voor en/of na dit koppelteken.";;De bijbehorende naamcode/naamgebruik geeft aan welke naam van de verzekerde wordt gehanteerd.;;;;Hier de geboortenaam van de verzekerde vullen.
VK301;VERZEKERDENRECORD;02;0211;VOORVOEGSEL VERZEKERDE (01);AN;10;;98;C;;NAM194;NEN;VERZ;VERZEKERDE/PATIENT/CLIENT;Verzameling van ŽŽn of meer voorzetsels/lidwoorden, die aan het significante deel van de achternaam van de verzekerde vooraf gaat en daar een onderdeel van is.;;NAM040;VOORVOEGSEL, CODERING VOLGENS NEN 1888, DEC 1991.;NEDERLANDS NORMALISATIE INSTITUUT;AANBEVELING VEKTIS;"Codering volgens ""GBA-voorvoegseltabel"".";;;VOORVOEGSEL, CODERING VOLGENS NEN 1888, DEC 1991.;NAM040-NEN;;Conditie: als de naam een voorvoegsel bevat dan vullen verplicht, anders vullen met spaties.
VK301;VERZEKERDENRECORD;02;0212;NAAMCODE/NAAMGEBRUIK (02);N;1;;99;C;;COD701;NEN1;VERZ;VERZEKERDE/PATIENT/CLIENT;Aanduiding naamgebruik (gecodeerd).;Deze code geeft de betekenis van de bijbehorende naam weer (eigen naam, naam echtgenoot e.d.).;;;NEDERLANDS NORMALISATIE INSTITUUT;SITUATIE AFHANKELIJKE AANBEVELING;;;Dit gegevenselement heeft betrekking op NAAM VERZEKERDE (02) inclusief VOORVOEGSEL VERZEKERDE (02). Heeft met name functie voor een servicebureau en niet voor de zorgverzekeraar.;NAAMCODE, CODERING VOLGENS NEN 1888, JULI 2002.;COD701-NEN1;;Waarde '2' of '0' (indien verzekerde geen partner heeft, dus niet van toepassing) vullen.
VK301;VERZEKERDENRECORD;02;0213;NAAM VERZEKERDE (02);AN;25;;124;C;;NAM191;NEN;VERZ;VERZEKERDE/PATIENT/CLIENT;De achternaam van verzekerde, indien nodig verkort weergegeven (significant deel).;;NAM039;ACHTERNAAM SIGNIFICANT DEEL (VERKORT), CODERING VOLGENS NEN 1888, DEC 1991.;NEDERLANDS NORMALISATIE INSTITUUT;AANBEVELING VEKTIS;"Als de naam uit meer delen bestaat gescheiden door een koppelteken (""-""), dan wordt er geen spatie geplaatst voor en/of na dit koppelteken.";;De bijbehorende naamcode/naamgebruik geeft aan welke naam van de verzekerde wordt gehanteerd.;;;;Conditie: vullen indien NAAMCODE/NAAMGEBRUIK (02) in de vorige rubriek de waarde '2' bevat. Anders vullen met spaties.
VK301;VERZEKERDENRECORD;02;0214;VOORVOEGSEL VERZEKERDE (02);AN;10;;134;C;;NAM192;NEN;VERZ;VERZEKERDE/PATIENT/CLIENT;Verzameling van ŽŽn of meer voorzetsels/lidwoorden, die aan het significante deel van de achternaam van de verzekerde vooraf gaat en daar een onderdeel van is.;;NAM040;VOORVOEGSEL, CODERING VOLGENS NEN 1888, DEC 1991.;NEDERLANDS NORMALISATIE INSTITUUT;AANBEVELING VEKTIS;"Codering volgens ""GBA-voorvoegseltabel"".";;;VOORVOEGSEL, CODERING VOLGENS NEN 1888, DEC 1991.;NAM040-NEN;;Conditie: als de naam een voorvoegsel bevat dan vullen verplicht, anders vullen met spaties
VK301;VERZEKERDENRECORD;02;0215;VOORLETTERS VERZEKERDE;AN;6;;140;M;;NAM025;NEN;VERZ;VERZEKERDE/PATIENT/CLIENT;De voorletters van verzekerde. De verzameling van letters die wordt gevormd door de eerste letter van alle in volgorde voorkomende voornamen.;;NAM038;VOORLETTERS PERSOON, CODERING VOLGENS NEN 1888, DEC 1991.;NEDERLANDS NORMALISATIE INSTITUUT;AANBEVELING VEKTIS;"Voorletters aansluitend zonder punt of spatie.  Een voornaam waarbij twee elementen zijn verbonden middels een koppelteken wordt in deze norm als ŽŽn voornaam beschouwd, bijvoorbeeld Jan-Pieter is ""J"".";"De namen Jan-Pieter, Christiaan, Philip, Theo en IJsbrand hebben respectievelijk de voorletter ""J"", ""C"", ""P"", ""T"" en ""I"".";;;;;Voorletters van de verzekerde invullen die behoren bij de geboortenaam of eventueel bij de tenaamstelling.
VK301;VERZEKERDENRECORD;02;0216;NAAMCODE/NAAMGEBRUIK (03);N;1;;141;C;;COD829;NEN1;VERZ;VERZEKERDE/PATIENT/CLIENT;Aanduiding naamgebruik (gecodeerd).;Deze code geeft de betekenis van de bijbehorende naam weer (eigen naam, naam echtgenoot e.d.).;;;NEDERLANDS NORMALISATIE INSTITUUT;SITUATIE AFHANKELIJKE AANBEVELING;;;Hier de code vullen die past bij de tenaamstelling van de verzekerde. Heeft met name functie voor een servicebureau en niet voor de zorgverzekeraar.;NAAMCODE, CODERING VOLGENS NEN 1888, JULI 2002.;COD829-NEN1;;Conditie: alleen vullen indien de tenaamstelling relevant is voor correspondentiedoeleinden (bijv. voor rechtstreekse communicatie tussen servicebureau en verzekerde). Toegestane waarden: '1', '2', '3' en '4'. Indien niet relevant, dan vullen met '0'.
VK301;VERZEKERDENRECORD;02;0217;POSTCODE (HUISADRES) VERZEKERDE;AN;6;NNNNAA;147;C;;COD083;KPN;VERZ;VERZEKERDE/PATIENT/CLIENT;De postcode van het huisadres van een verzekerde.;De offici‘le codering van TPG Post voor een Nederlands postadres, bestaande uit een numeriek deel en een alfabetisch deel.;COD014;NEDERLANDSE POSTCODE, GECODEERD VOLGENS NEN 5825, DEC 1991.;KPN;AANBEVELING VEKTIS;Het stelsel wordt door TPG (voorheen KPN) beheerd en uitgegeven.  De codering bestaat uit 4 cijfers (numerieke woonplaatscode), gevolgd door 2 letters (alfabetische lettercode).;De code van de plaatsnaam en het adres (onvolledig: straatnaam + huisnummer) in Nederland. (Conform Besluit Standaardadressering BIZA).;;;;;Conditie: verplicht vullen, indien verzekerde woonachtig is in Nederland. Als verzekerde woont in het buitenland, dan de volgende rubriek vullen.
VK301;VERZEKERDENRECORD;02;0218;POSTCODE BUITENLAND;AN;9;;156;C;;COD434;VEKT;VERZ;VERZEKERDE/PATIENT/CLIENT;Weergave van buitenlandse postcodes.;;;;VEKTIS CV;AANBEVELING VEKTIS;;;Dit gegeven is met name van belang voor verzekerden van zorgverzekeraars in 'grensgebieden'. Duitsland: 5-cijferige postcode. Belgie: 4-cijferige postcode.;;;;Conditie: verplicht vullen indien verzekerde in het buitenland woonachtig is. Als verzekerde woont in Nederland, dan de vorige rubriek vullen. Links aansluiten en rechts opvullen met spaties.
VK301;VERZEKERDENRECORD;02;0219;HUISNUMMER (HUISADRES) VERZEKERDE;N;5;;161;M;;NUM030;NEN;VERZ;VERZEKERDE/PATIENT/CLIENT;De numerieke aanduiding bij het adres van een verzekerde, zoals de gemeente die heeft toegekend.;Zie Besluit Standaard Adressering van het ministerie van Binnenlandse Zaken van 22-02-1988 of NEN 5825 van december 1991.;NUM025;HUISNUMMER, GECODEERD VOLGENS NEN 5825, DEC.1991.;NEDERLANDS NORMALISATIE INSTITUUT;AANBEVELING VEKTIS;;;;;;;
VK301;VERZEKERDENRECORD;02;0220;HUISNUMMERTOEVOEGING (HUISADRES) VERZEKERDE;AN;6;;167;C;;NUM079;NEN1;VERZ;VERZEKERDE/PATIENT/CLIENT;De alfanumerieke aanduiding achter het huisnummer van de verzekerde, zoals de gemeente die heeft toegekend.;;NUM041;HUISNUMMERTOEVOEGING, GECODEERD VOLGENS NEN 5825, JULI 2002.;NEDERLANDS NORMALISATIE INSTITUUT;AANBEVELING VEKTIS;;Huisnummertoevoeging = door gemeente toegekende huisletter (indien aanwezig), direct gevolgd door de door de gemeente toegekende huisnummertoevoeging (indien aanwezig).;;;;;Conditie: verplicht invullen als er sprake is van een huisnummertoevoeging.
